date,total_deaths
2020-10-14,8.0
2020-10-15,6.0
2020-10-16,15.0
2020-10-17,14.0
2020-10-18,10.0
2020-10-19,18.0
2020-10-20,22.0
2020-10-21,11.0
2020-10-22,29.0
2020-10-23,16.0
2020-10-24,13.0
2020-10-25,7.0
2020-10-26,10.0
2020-10-27,42.0
2020-10-28,25.0
2020-10-29,36.0
2020-10-30,28.0
2020-10-31,29.0
2020-11-01,25.0
2020-11-02,19.0
2020-11-03,51.0
2020-11-04,63.0
2020-11-05,54.0
2020-11-06,52.0
2020-11-07,58.0
2020-11-08,56.0
2020-11-09,33.0
2020-11-10,106.0
2020-11-11,80.0
2020-11-12,47.0
2020-11-13,72.0
2020-11-14,85.0
2020-11-15,36.0
2020-11-16,39.0
2020-11-17,152.0
2020-11-18,131.0
2020-11-19,117.0
2020-11-20,119.0
2020-11-21,129.0
2020-11-22,42.0
2020-11-23,60.0
2020-11-24,189.0
2020-11-25,157.0
2020-11-26,141.0
2020-11-27,162.0
2020-11-28,151.0
2020-11-29,69.0
2020-11-30,65.0
2020-12-01,221.0
2020-12-02,153.0
2020-12-03,159.0
2020-12-04,156.0
2020-12-05,147.0
2020-12-06,79.0
2020-12-07,68.0
2020-12-08,213.0
2020-12-09,146.0
2020-12-10,127.0
2020-12-11,122.0
2020-12-12,157.0
2020-12-13,64.0
2020-12-14,62.0
2020-12-15,150.0
